No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
1;"BANK PANIN";-;-;-;-;R
2;"pt inti persero - sam demo - 10 SAM NT";0;2016BB12NT005305;2016BB12010200000000000000005305;Berhasil;R
3;"pt inti persero - sam demo - 10 SAM NT";0;2016BB12NT005314;2016BB12010200000000000000005314;Berhasil;R
4;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012204;2017BB12020800000000000000012204;Berhasil;R
5;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012205;2017BB12020800000000000000012205;Berhasil;R
6;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012206;2017BB12020800000000000000012206;Berhasil;R
7;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012207;2017BB12020800000000000000012207;Berhasil;R
8;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012208;2017BB12020800000000000000012208;Berhasil;R
9;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012209;2017BB12020800000000000000012209;Berhasil;R
10;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012210;2017BB12020800000000000000012210;Berhasil;R
11;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012211;2017BB12020800000000000000012211;Berhasil;R
12;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012212;2017BB12020800000000000000012212;Berhasil;R
13;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012213;2017BB12020800000000000000012213;Berhasil;R
14;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012214;2017BB12020800000000000000012214;Berhasil;R
15;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012215;2017BB12020800000000000000012215;Berhasil;R
16;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012216;2017BB12020800000000000000012216;Berhasil;R
17;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012217;2017BB12020800000000000000012217;Berhasil;R
18;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012218;2017BB12020800000000000000012218;Berhasil;R
19;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012219;2017BB12020800000000000000012219;Berhasil;R
20;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012220;2017BB12020800000000000000012220;Berhasil;R
21;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012221;2017BB12020800000000000000012221;Berhasil;R
22;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012222;2017BB12020800000000000000012222;Berhasil;R
23;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012223;2017BB12020800000000000000012223;Berhasil;R
24;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012224;2017BB12020800000000000000012224;Berhasil;R
25;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012226;2017BB12020800000000000000012226;Berhasil;R
26;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012227;2017BB12020800000000000000012227;Berhasil;R
27;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012228;2017BB12020800000000000000012228;Berhasil;R
28;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012229;2017BB12020800000000000000012229;Berhasil;R
29;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012230;2017BB12020800000000000000012230;Berhasil;R
30;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012231;2017BB12020800000000000000012231;Berhasil;R
31;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012232;2017BB12020800000000000000012232;Berhasil;R
32;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012233;2017BB12020800000000000000012233;Berhasil;R
33;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012234;2017BB12020800000000000000012234;Berhasil;R
34;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012235;2017BB12020800000000000000012235;Berhasil;R
35;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012236;2017BB12020800000000000000012236;Berhasil;R
36;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012237;2017BB12020800000000000000012237;Berhasil;R
37;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012238;2017BB12020800000000000000012238;Berhasil;R
38;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012239;2017BB12020800000000000000012239;Berhasil;R
39;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012240;2017BB12020800000000000000012240;Berhasil;R
40;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012241;2017BB12020800000000000000012241;Berhasil;R
41;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012242;2017BB12020800000000000000012242;Berhasil;R
42;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012243;2017BB12020800000000000000012243;Berhasil;R
43;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012244;2017BB12020800000000000000012244;Berhasil;R
44;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012245;2017BB12020800000000000000012245;Berhasil;R
45;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012246;2017BB12020800000000000000012246;Berhasil;R
46;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012247;2017BB12020800000000000000012247;Berhasil;R
47;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012248;2017BB12020800000000000000012248;Berhasil;R
48;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012249;2017BB12020800000000000000012249;Berhasil;R
49;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012250;2017BB12020800000000000000012250;Berhasil;R
50;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012251;2017BB12020800000000000000012251;Berhasil;R
51;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012252;2017BB12020800000000000000012252;Berhasil;R
52;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012253;2017BB12020800000000000000012253;Berhasil;R
53;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012254;2017BB12020800000000000000012254;Berhasil;R
54;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012255;2017BB12020800000000000000012255;Berhasil;R
55;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012256;2017BB12020800000000000000012256;Berhasil;R
56;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012257;2017BB12020800000000000000012257;Berhasil;R
57;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012258;2017BB12020800000000000000012258;Berhasil;R
58;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012259;2017BB12020800000000000000012259;Berhasil;R
59;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012260;2017BB12020800000000000000012260;Berhasil;R
60;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012261;2017BB12020800000000000000012261;Berhasil;R
61;"divisi ti polri - 2.273 sam nt - polda banten, jabar, jateng, jatim dan bali";0;2017BB12NT012262;2017BB12020800000000000000012262;Berhasil;R
