No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
1;"Bank BCA";-;2020AA11LN060755;2020AA11300700000000000000060755;-;RW
2;"Sequis Life";" 30 15 01 13 00 00 6C D5";2020BB12LN059812;2020BB12310300000000000000059812;Berhasil;R
3;"korlantas - polri- 109 sam dari 669 SAM LN";0;2016BB12LN005476;2016BB12010300000000000000005476;Berhasil;R
4;"dinas dukcapil kabupaten tasikmalaya - sam demo - 20 LEN";0;2017BB12LN021280;2017BB12031100000000000000021280;Berhasil;R
5;"pt len industri persero - sam demo - 20 LEN";0;2017BB12LN021281;2017BB12031100000000000000021281;Berhasil;R
6;"pt len industri persero - sam demo - 20 LEN";0;2017BB12LN021282;2017BB12031100000000000000021282;Berhasil;R
7;"pt len industri persero - sam demo - 20 LEN";0;2017BB12LN021283;2017BB12031100000000000000021283;Berhasil;R
8;"dinas kependudukan, pencatatan sipil, pengendalian penduduk dan kb provinsi sulawesi selatan - sam demo - 20 LEN";0;2017BB12LN021284;2017BB12031100000000000000021284;Berhasil;R
9;"telkomsel - 8 SAM LEN";0;2017BB12LN022448;2017BB12161100000000000000022448;Berhasil;R
10;"telkomsel - 8 SAM LEN";0;2017BB12LN022449;2017BB12161100000000000000022449;Berhasil;R
11;"telkomsel - 8 SAM LEN";0;2017BB12LN022450;2017BB12161100000000000000022450;Berhasil;R
12;"telkomsel - 8 SAM LEN";0;2017BB12LN022451;2017BB12161100000000000000022451;Berhasil;R
13;"telkomsel - 8 SAM LEN";0;2017BB12LN022452;2017BB12161100000000000000022452;Berhasil;R
14;"telkomsel - 8 SAM LEN";0;2017BB12LN022453;2017BB12161100000000000000022453;Berhasil;R
15;"telkomsel - 8 SAM LEN";0;2017BB12LN022499;2017BB12161100000000000000022499;Berhasil;R
16;"telkomsel - 8 SAM LEN";0;2017BB12LN022500;2017BB12161100000000000000022500;Berhasil;R
17;"dinas dukcapil kota medan - len 3 sam";0;2017BB12LN022501;2017BB12161100000000000000022501;Berhasil;R
18;"dinas dukcapil kota medan - len 3 sam";0;2017BB12LN022502;2017BB12161100000000000000022502;Berhasil;R
19;"dinas dukcapil kota medan - len 3 sam";0;2017BB12LN022503;2017BB12161100000000000000022503;Berhasil;R
20;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034812;2018BB12130900000000000000034812;Berhasil;R
21;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034813;2018BB12130900000000000000034813;Berhasil;R
22;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034814;2018BB12130900000000000000034814;Berhasil;R
23;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034815;2018BB12130900000000000000034815;Berhasil;R
24;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034816;2018BB12130900000000000000034816;Berhasil;R
25;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034817;2018BB12130900000000000000034817;Berhasil;R
26;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034818;2018BB12130900000000000000034818;Berhasil;R
27;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034819;2018BB12130900000000000000034819;Berhasil;R
28;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034820;2018BB12130900000000000000034820;Berhasil;R
29;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034821;2018BB12130900000000000000034821;Berhasil;R
30;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034822;2018BB12130900000000000000034822;Berhasil;R
31;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034823;2018BB12130900000000000000034823;Berhasil;R
32;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034824;2018BB12130900000000000000034824;Berhasil;R
33;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034825;2018BB12130900000000000000034825;Berhasil;R
34;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034826;2018BB12130900000000000000034826;Berhasil;R
35;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034827;2018BB12130900000000000000034827;Berhasil;R
36;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034828;2018BB12130900000000000000034828;Berhasil;R
37;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034829;2018BB12130900000000000000034829;Berhasil;R
38;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034830;2018BB12130900000000000000034830;Berhasil;R
39;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034831;2018BB12130900000000000000034831;Berhasil;R
40;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034832;2018BB12130900000000000000034832;Berhasil;R
41;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034833;2018BB12130900000000000000034833;Berhasil;R
42;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034834;2018BB12130900000000000000034834;Berhasil;R
43;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034835;2018BB12130900000000000000034835;Berhasil;R
44;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034836;2018BB12130900000000000000034836;Berhasil;R
45;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034837;2018BB12130900000000000000034837;Berhasil;R
46;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034838;2018BB12130900000000000000034838;Berhasil;R
47;"bpjs kesehatan - 127 SAM LN";0;2018BB12LN034839;2018BB12130900000000000000034839;Berhasil;R
