No.;"Nama Lembaga";"No. Seri Kartu SAM";"No. Manifest Kartu SAM";"No. PCID";Keterangan
57;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043690;2019AA11100500000000000000043690;Berhasil;R
58;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043691;2019AA11100500000000000000043691;Berhasil;R
59;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043692;2019AA11100500000000000000043692;Berhasil;R
60;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043693;2019AA11100500000000000000043693;Berhasil;R
61;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043694;2019AA11100500000000000000043694;Berhasil;R
62;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043695;2019AA11100500000000000000043695;Berhasil;R
63;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043696;2019AA11100500000000000000043696;Berhasil;R
64;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043697;2019AA11100500000000000000043697;Berhasil;R
65;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043698;2019AA11100500000000000000043698;Berhasil;R
66;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043699;2019AA11100500000000000000043699;Berhasil;R
67;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043700;2019AA11100500000000000000043700;Berhasil;R
68;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043701;2019AA11100500000000000000043701;Berhasil;R
69;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043702;2019AA11100500000000000000043702;Berhasil;R
70;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043703;2019AA11100500000000000000043703;Berhasil;R
71;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043704;2019AA11100500000000000000043704;Berhasil;R
72;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043705;2019AA11100500000000000000043705;Berhasil;R
73;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043706;2019AA11100500000000000000043706;Berhasil;R
74;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043707;2019AA11100500000000000000043707;Berhasil;R
75;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043708;2019AA11100500000000000000043708;Berhasil;R
76;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043709;2019AA11100500000000000000043709;Berhasil;R
77;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043710;2019AA11100500000000000000043710;Berhasil;R
78;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043711;2019AA11100500000000000000043711;Berhasil;R
79;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043712;2019AA11100500000000000000043712;Berhasil;R
80;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043713;2019AA11100500000000000000043713;Berhasil;R
81;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043714;2019AA11100500000000000000043714;Berhasil;R
82;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043715;2019AA11100500000000000000043715;Berhasil;R
83;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043716;2019AA11100500000000000000043716;Berhasil;R
84;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043717;2019AA11100500000000000000043717;Berhasil;R
85;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043718;2019AA11100500000000000000043718;Berhasil;R
86;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043719;2019AA11100500000000000000043719;Berhasil;R
87;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043720;2019AA11100500000000000000043720;Berhasil;R
88;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043721;2019AA11100500000000000000043721;Berhasil;R
89;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043722;2019AA11100500000000000000043722;Berhasil;R
90;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043723;2019AA11100500000000000000043723;Berhasil;R
91;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043724;2019AA11100500000000000000043724;Berhasil;R
92;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043725;2019AA11100500000000000000043725;Berhasil;R
93;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043726;2019AA11100500000000000000043726;Berhasil;R
94;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043727;2019AA11100500000000000000043727;Berhasil;R
95;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043728;2019AA11100500000000000000043728;Berhasil;R
96;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043729;2019AA11100500000000000000043729;Berhasil;R
97;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043730;2019AA11100500000000000000043730;Berhasil;R
98;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043731;2019AA11100500000000000000043731;Berhasil;R
99;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043732;2019AA11100500000000000000043732;Berhasil;R
100;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043733;2019AA11100500000000000000043733;Berhasil;R
101;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043734;2019AA11100500000000000000043734;Berhasil;R
102;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043735;2019AA11100500000000000000043735;Berhasil;R
103;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043736;2019AA11100500000000000000043736;Berhasil;R
104;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043737;2019AA11100500000000000000043737;Berhasil;R
105;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043738;2019AA11100500000000000000043738;Berhasil;R
106;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043739;2019AA11100500000000000000043739;Berhasil;R
107;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043740;2019AA11100500000000000000043740;Berhasil;R
108;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043741;2019AA11100500000000000000043741;Berhasil;R
109;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043742;2019AA11100500000000000000043742;Berhasil;R
110;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043743;2019AA11100500000000000000043743;Berhasil;R
111;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043744;2019AA11100500000000000000043744;Berhasil;R
112;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043745;2019AA11100500000000000000043745;Berhasil;R
113;"pt asdp ferry indonesia - 181 idpro";0;2019BB12ID043746;2019AA11100500000000000000043746;Berhasil;R
